LocationID,StateAbbr,CountyName,CountyFIPS,lon,lat,TotalPopulation,chronic_disease_burden_score,preventive_care_gap_score,health_need_score,need_intensity,priority_weighted_population,health_priority_rank
11001004704,DC,District of Columbia,11001,-77.0114767,38.904566,1945,2.917046742149456,2.6257347281342693,2.7713907351418627,1.0,1945.0,1
11001006804,DC,District of Columbia,11001,-76.9704836,38.8863842,2429,0.7546094926787364,4.7258716563147765,2.7402405744967564,0.9915718781136695,2408.5280919381034,2
24033805601,MD,Prince George's,24033,-76.9845267,38.990467,6373,0.15826116858230296,4.863568088997124,2.5109146287897137,0.9295244606336378,5923.859387618174,3
11001009511,DC,District of Columbia,11001,-77.0010516,38.9372097,2066,0.09374735629233139,4.5904742009287895,2.3421107786105604,0.8838521624904407,1826.0385677052507,4
11001007403,DC,District of Columbia,11001,-76.9743805,38.8484714,2613,1.8438309405434423,2.6024684094064736,2.223149674974958,0.8516655329383147,2225.4020375678165,5
24033805602,MD,Prince George's,24033,-76.98076,38.9893628,5555,-0.16729159658005846,4.207546733435285,2.020127568427613,0.7967349956902054,4425.862901059091,6
11001007408,DC,District of Columbia,11001,-76.9706266,38.8525662,2867,1.6988616163536046,2.20429896621755,1.9515802912855773,0.7781885485848062,2231.0665687926394,7
11001007401,DC,District of Columbia,11001,-76.9991203,38.8675208,1259,1.9694496363585154,1.8845946438884462,1.9270221401234808,0.7715439892306767,971.373882441422,8
51179010201,VA,Stafford,51179,-77.4512451,38.5276989,1633,-0.9971183032438006,4.557020869780729,1.779951283268464,0.731751863545576,1194.9507931699256,9
11001009602,DC,District of Columbia,11001,-76.9523616,38.9035769,4481,1.696041549779312,1.8313542017839106,1.7636978757816113,0.7273542714776549,3259.2744904913716,10
11001007409,DC,District of Columbia,11001,-76.975165,38.8445818,3835,1.2628027340663908,2.170053777573312,1.7164282558198516,0.7145647991183584,2740.356004618904,11
51059451601,VA,Fairfax,51059,-77.1390073,38.8502385,6129,-0.02632689791403767,3.3843394847210946,1.6790062934035284,0.7044397514801208,4317.5112368216605,12
24033803900,MD,Prince George's,24033,-76.921979,38.9492635,4654,0.4971432365012119,2.821572666442788,1.6593579514719998,0.6991236112986982,3253.721286984141,13
11001000201,DC,District of Columbia,11001,-77.0743418,38.9092171,4108,-0.8998977343013135,4.200126531358442,1.6501143985285642,0.6966226357256472,2861.725787560959,14
11001009801,DC,District of Columbia,11001,-76.9963306,38.8328939,1848,1.658764223701207,1.4373013267313697,1.5480327752162883,0.6690029912097689,1236.317527755653,15
11001007804,DC,District of Columbia,11001,-76.9313427,38.8942107,3499,1.509345862440149,1.5384492767397582,1.5238975695899537,0.6624728658249307,2317.9925575214324,16
11001010900,DC,District of Columbia,11001,-77.0238475,38.8132364,3333,1.0493061113461049,1.9529628401816268,1.5011344757638658,0.656313984929837,2187.4945117711463,17
24033805500,MD,Prince George's,24033,-76.9817825,38.9797221,3716,0.43702458356842083,2.450480157754452,1.4437523706614364,0.6407884349525054,2381.16982428351,18
24033805700,MD,Prince George's,24033,-76.979425,38.993184,6610,0.3122148353623764,2.4172267887828984,1.3647208120726373,0.6194053154160831,4094.2691349003094,19
54037972401,WV,Jefferson,54037,-77.8597406,39.2998141,2718,1.9184490332794228,0.7828508843487462,1.3506499588140846,0.6155982446385401,1673.1960289275519,20
24031702000,MD,Montgomery,24031,-76.9932806,38.9951964,5438,0.3988417518877597,2.2850408007096803,1.34194127629872,0.6132419859166327,3334.8099194146484,21
24021772200,MD,Frederick,24021,-77.383808,39.4123663,1566,1.4043000520320097,1.2258098665997597,1.3150549593158847,0.6059675079713175,948.9451174830832,22
24033805101,MD,Prince George's,24033,-76.9758623,38.9626634,4031,0.10559018850426934,2.513896874659675,1.309743531581972,0.6045304251632426,2436.862143833031,23
24033980000,MD,Prince George's,24033,-76.9445325,38.9936953,15052,-1.1433819421535474,3.717803174557835,1.2872106162021437,0.5984338223418573,9007.625893889635,24
11001009811,DC,District of Columbia,11001,-76.9984594,38.826651,4438,1.0726210956258309,1.5006775455193402,1.2866493205725855,0.5982819557741667,2655.1753197257517,25
