LocationID,StateAbbr,CountyName,TotalPopulation,chronic_disease_burden_score,chronic_disease_burden_rank,ARTHRITIS_pct,BPHIGH_pct,CANCER_pct,CASTHMA_pct,CHD_pct,COPD_pct,DEPRESSION_pct,DIABETES_pct,HIGHCHOL_pct,OBESITY_pct,STROKE_pct
24031701317,MD,Montgomery,4494,0.11514554727023336,596,23.2,32.5,8.9,9.4,5.3,4.6,18.6,9.9,43.2,24.7,2.7
51683910301,VA,Manassas,4579,0.11496080478887293,597,21.6,30.8,5.6,10.0,4.9,5.3,20.8,11.8,35.9,35.7,2.8
51630000500,VA,Fredericksburg,8872,0.11411724336729759,598,20.7,30.3,4.8,11.4,4.2,4.8,23.9,10.4,32.0,42.1,2.5
24031700500,MD,Montgomery,7196,0.11296154627963285,599,22.8,31.0,8.6,9.8,5.1,4.8,20.3,9.2,41.9,25.8,2.6
51013102701,VA,Arlington,3579,0.11267508236454492,600,20.6,32.8,3.9,10.1,4.9,5.4,20.3,13.6,35.3,34.4,3.1
51059452700,VA,Fairfax,5398,0.11037034710243522,601,21.5,32.1,5.3,10.2,5.2,5.2,19.2,13.1,36.3,30.3,3.1
24031701212,MD,Montgomery,2723,0.10879356604061562,602,23.4,32.7,9.4,9.0,5.6,4.5,17.7,9.9,43.9,23.7,2.8
51059421002,VA,Fairfax,5348,0.10828278318551163,603,21.2,31.3,5.4,10.2,5.3,5.6,20.1,12.6,36.2,28.6,3.0
24033805101,MD,Prince George's,4031,0.10559018850426934,604,18.3,31.4,3.1,10.9,4.8,5.9,17.1,14.1,33.0,44.6,3.2
51059415800,VA,Fairfax,5047,0.10487983673120217,605,25.2,30.2,9.9,9.8,5.2,4.3,20.7,9.2,39.4,24.1,2.5
11001001600,DC,District of Columbia,4471,0.10484620139988779,606,23.7,37.3,8.7,9.9,5.0,3.8,16.9,9.9,39.8,23.3,3.6
24031700208,MD,Montgomery,2433,0.10391810264454611,607,22.2,31.0,8.0,9.8,5.2,5.0,20.1,9.5,41.0,26.8,2.7
24033800217,MD,Prince George's,4776,0.10326705475676677,608,22.4,35.8,5.5,11.3,4.5,4.5,15.2,12.3,34.3,40.2,3.0
24033807500,MD,Prince George's,7321,0.1026800664864715,609,21.7,33.0,5.6,11.0,4.6,5.0,17.2,11.8,34.2,40.1,2.9
24033800103,MD,Prince George's,2454,0.10254204988112797,610,20.3,33.5,4.4,11.3,4.6,5.5,17.0,12.3,32.9,41.8,3.0
24021751201,MD,Frederick,5702,0.10211370627835975,611,24.5,33.1,8.6,9.3,5.0,4.3,19.4,9.8,38.6,33.1,2.5
24031701218,MD,Montgomery,3050,0.10173200177152521,612,23.4,33.2,9.6,8.9,6.1,4.4,16.8,9.9,41.6,23.2,3.2
24033805000,MD,Prince George's,5906,0.0998803922462398,613,22.0,35.3,4.9,10.9,4.8,4.6,14.4,13.3,33.9,40.4,3.4
24031701312,MD,Montgomery,6458,0.09768285842402674,614,22.6,32.0,8.3,9.6,5.2,4.7,19.1,9.9,42.2,25.8,2.7
11001007901,DC,District of Columbia,4148,0.09633427376047284,615,18.6,32.5,4.3,11.9,4.1,5.5,23.7,9.8,32.0,30.7,3.5
51179010108,VA,Stafford,6426,0.09621561560842778,616,22.6,30.9,6.0,10.5,4.4,4.6,22.1,10.7,35.3,36.2,2.6
51059421600,VA,Fairfax,6409,0.0962065235412986,617,20.2,32.2,4.1,10.9,4.8,5.1,19.2,13.9,34.6,33.9,3.1
51059482100,VA,Fairfax,3258,0.09605796066114584,618,24.2,30.7,8.7,9.9,5.2,4.5,20.2,10.2,38.2,25.7,2.7
24031701409,MD,Montgomery,4361,0.09541421689911124,619,22.9,34.8,7.9,9.1,5.5,4.4,16.0,11.6,43.6,25.1,3.0
51059452501,VA,Fairfax,3912,0.09382361282561687,620,22.9,31.7,7.1,9.2,5.8,5.1,18.1,12.5,39.5,24.7,3.0
11001009511,DC,District of Columbia,2066,0.09374735629233139,621,11.8,26.9,2.0,12.9,4.2,8.2,31.7,8.0,24.7,34.8,3.0
51153901212,VA,Prince William,7978,0.09298722503154848,622,21.0,33.4,5.0,10.4,4.6,4.9,19.7,12.4,35.6,35.7,2.9
51059470300,VA,Fairfax,3418,0.09288248494191674,623,25.8,31.6,10.8,9.1,5.6,3.9,18.8,9.7,41.2,22.4,2.5
51059470900,VA,Fairfax,7993,0.09265515483113873,624,25.6,31.7,10.5,8.9,5.8,4.2,18.2,10.1,41.0,21.5,2.7
24033800516,MD,Prince George's,3889,0.09264180151621239,625,23.8,36.3,6.3,11.5,4.3,4.1,14.7,11.7,34.9,37.6,3.0
51059481400,VA,Fairfax,6647,0.08922502682856298,626,24.9,31.3,9.6,9.3,5.6,4.3,19.3,10.1,39.5,23.4,2.7
24033800212,MD,Prince George's,6374,0.08870586002049427,627,23.2,36.1,6.1,10.9,4.7,4.3,14.1,12.6,36.1,35.3,3.2
51059415200,VA,Fairfax,3218,0.08848501705287014,628,24.7,29.6,9.2,10.2,4.9,4.3,21.8,9.2,38.2,25.5,2.4
24031700103,MD,Montgomery,5492,0.08607770426264956,629,23.0,32.6,8.7,9.1,5.4,4.6,17.7,10.2,43.8,24.1,2.8
24033803519,MD,Prince George's,6212,0.08562265589973754,630,22.1,37.4,4.5,12.4,3.9,4.1,14.8,12.3,32.0,42.9,3.1
24031703502,MD,Montgomery,3108,0.08448230100201748,631,22.4,31.9,8.2,9.4,5.4,4.7,18.4,10.2,41.6,26.0,2.9
51600300500,VA,Fairfax,3560,0.0843624868551054,632,24.2,31.9,8.5,9.1,5.4,4.5,19.4,10.6,38.2,29.7,2.6
24033800206,MD,Prince George's,4272,0.08398431544326639,633,22.0,35.9,5.1,11.7,4.2,4.4,15.4,12.4,33.8,40.8,2.9
24033807304,MD,Prince George's,2266,0.08376279848598074,634,22.1,33.6,5.8,9.8,5.3,4.9,14.6,13.3,36.9,36.7,3.2
24033803509,MD,Prince George's,4175,0.0824292549583717,635,19.1,35.2,3.1,12.7,3.8,5.2,16.7,12.4,29.7,46.2,3.1
24031701602,MD,Montgomery,6790,0.08231829960791626,636,17.9,32.1,3.7,9.7,5.4,5.7,17.7,14.1,38.6,33.1,3.4
51059422101,VA,Fairfax,6872,0.07987180881638772,637,20.9,32.5,4.8,10.6,4.9,5.0,19.7,13.1,35.3,31.0,3.0
51013100400,VA,Arlington,3780,0.07986777548915963,638,26.6,31.5,10.6,8.9,5.2,3.8,20.1,9.1,41.2,23.7,2.4
11001010300,DC,District of Columbia,3604,0.07567695089005644,639,20.6,34.4,5.7,10.6,4.7,4.9,19.5,10.5,35.9,27.9,3.7
51179010306,VA,Stafford,2773,0.07249121965360138,640,21.0,30.4,5.2,10.9,4.4,4.9,23.1,10.4,32.2,38.3,2.7
24021752102,MD,Frederick,6881,0.0717734057357447,641,24.2,31.7,8.5,9.3,4.8,4.4,20.5,9.3,38.6,32.7,2.4
51153900201,VA,Prince William,2710,0.07135022955498213,642,19.6,31.8,4.3,10.4,4.5,5.3,21.7,12.0,33.8,38.3,2.8
51059480100,VA,Fairfax,4399,0.07111976563752398,643,25.5,31.4,10.6,9.1,5.5,3.9,18.8,9.8,41.4,21.8,2.5
11001009400,DC,District of Columbia,4424,0.0698783854677168,644,21.7,36.0,6.4,10.7,4.6,4.3,18.4,10.3,36.8,26.3,3.7
51107610603,VA,Loudoun,3587,0.06980928467477154,645,22.1,31.0,6.1,10.2,4.8,5.2,21.9,10.3,34.6,33.7,2.6
24031704100,MD,Montgomery,4844,0.06924314124804812,646,24.3,32.1,11.1,9.0,5.4,3.9,18.1,8.5,43.5,22.9,2.6
24033800209,MD,Prince George's,4788,0.06746082034069513,647,20.5,33.8,4.3,11.5,4.4,5.0,16.2,12.5,32.1,42.8,3.1
51059440300,VA,Fairfax,2765,0.06624051370641981,648,25.2,31.5,10.0,9.0,5.6,4.1,18.6,10.2,40.9,22.3,2.6
24017851501,MD,Charles,4630,0.06409428368912873,649,21.7,37.7,4.9,11.2,3.8,4.4,17.7,11.6,33.1,42.2,2.7
51153900803,VA,Prince William,6016,0.06277575466692394,650,19.5,33.5,3.7,11.5,3.9,4.8,21.3,12.0,31.9,40.7,2.8
51107610702,VA,Loudoun,6207,0.06254740654874484,651,23.2,30.0,7.2,10.4,4.6,4.9,22.9,9.0,35.4,31.3,2.4
11001001902,DC,District of Columbia,2117,0.06014818475654048,652,21.8,36.3,6.5,10.4,4.6,4.2,18.2,10.5,37.1,26.5,3.7
24033800413,MD,Prince George's,4348,0.05848079878260349,653,21.5,37.0,4.3,12.3,3.8,4.2,14.9,12.4,32.2,43.2,3.0
24031706005,MD,Montgomery,4664,0.05818283682126732,654,24.2,33.7,10.9,8.3,5.8,3.9,15.5,9.9,46.1,20.3,2.8
51061930401,VA,Fauquier,7315,0.05811339322550755,655,24.5,29.6,8.1,9.9,4.6,4.4,22.3,9.1,37.0,30.7,2.4
51059450800,VA,Fairfax,3483,0.05768408317922918,656,23.1,31.9,7.3,8.7,5.9,4.9,17.0,12.9,41.1,23.1,3.0
51107610300,VA,Loudoun,8911,0.05724868466546439,657,24.6,31.4,8.6,9.8,4.8,4.3,20.6,9.1,38.0,29.5,2.4
24031700724,MD,Montgomery,3279,0.057066041802931906,658,18.3,32.4,4.0,10.1,5.1,5.5,18.4,12.9,37.3,34.1,3.2
24017850905,MD,Charles,4312,0.05457647600213613,659,22.2,37.7,5.4,10.9,3.8,4.3,17.5,11.3,33.6,41.8,2.7
51107611400,VA,Loudoun,5767,0.05350036226061041,660,21.5,32.0,5.4,9.3,5.2,5.3,19.0,12.5,36.8,33.9,2.8
24031701315,MD,Montgomery,4394,0.05211160684396174,661,22.2,32.2,7.5,9.8,4.9,4.5,18.9,10.3,41.4,26.2,2.8
51107611701,VA,Loudoun,4797,0.05146779603016038,662,22.6,32.2,6.4,9.1,5.3,5.0,18.6,11.8,37.5,32.4,2.8
24031705200,MD,Montgomery,3344,0.05133478416395342,663,24.0,31.8,10.9,9.1,5.3,3.8,18.4,8.5,43.7,22.9,2.5
24031703213,MD,Montgomery,6321,0.05064278684555517,664,17.7,31.0,3.6,11.0,4.6,5.7,20.1,12.1,35.4,35.1,3.1
51153901227,VA,Prince William,5282,0.05005049168621714,665,20.8,32.4,5.1,9.9,4.7,4.9,19.7,12.2,35.9,35.7,2.9
51107610201,VA,Loudoun,6225,0.04840559126520425,666,24.6,31.1,8.6,9.8,4.7,4.3,21.5,8.8,37.5,29.7,2.3
51153901203,VA,Prince William,4013,0.04796050419144615,667,21.4,32.7,5.7,9.5,4.9,4.7,19.3,12.3,36.8,34.8,2.8
24031700832,MD,Montgomery,3206,0.04777323772577553,668,19.6,32.5,5.1,9.6,5.3,5.2,17.7,12.6,39.3,31.2,3.1
51059440800,VA,Fairfax,6397,0.04771042286878859,669,25.1,31.7,9.7,8.8,5.7,4.2,17.6,10.8,41.3,21.4,2.7
51059430202,VA,Fairfax,4949,0.04530578911642384,670,23.1,30.7,7.5,9.4,5.5,4.8,19.6,11.4,38.8,24.4,2.7
51510201500,VA,Alexandria,3835,0.043467945252889,671,24.9,30.3,9.2,9.4,4.9,3.9,21.2,9.2,39.2,28.1,2.3
11001011002,DC,District of Columbia,1859,0.041001311152765,672,23.5,31.9,10.4,9.4,4.8,4.1,20.5,8.0,40.3,21.1,3.0
51179010212,VA,Stafford,4675,0.03914808837500981,673,22.1,30.1,5.7,10.6,4.2,4.5,22.6,10.4,34.6,36.3,2.5
24031705400,MD,Montgomery,2904,0.038381949096824186,674,24.1,31.5,11.1,9.0,5.2,3.8,18.2,8.4,44.7,22.4,2.4
51153901231,VA,Prince William,7144,0.037775787374636424,675,23.0,31.9,7.6,9.5,4.8,4.4,20.4,10.2,37.8,30.7,2.6
11001009903,DC,District of Columbia,2004,0.03697336387661978,676,20.2,35.9,4.9,11.9,4.1,4.5,18.8,10.1,33.2,29.6,3.8
51059422403,VA,Fairfax,3024,0.03426752822704879,677,23.4,30.8,7.9,9.7,5.2,4.5,19.5,10.6,38.6,25.4,2.7
51059431300,VA,Fairfax,4419,0.030715145050577205,678,23.5,30.5,8.2,9.6,5.2,4.6,19.7,10.5,38.9,24.5,2.6
24031701004,MD,Montgomery,5301,0.0299354802754534,679,22.2,31.3,8.5,9.5,5.3,4.6,18.7,9.4,41.4,24.9,2.7
24033804801,MD,Prince George's,2648,0.02890116298913471,680,19.4,34.1,3.4,12.1,3.9,4.9,16.6,12.5,30.9,44.9,3.0
51059460200,VA,Fairfax,3970,0.02797565479520459,681,25.2,30.9,10.4,9.2,5.4,3.8,19.0,9.5,40.8,22.2,2.4
51059421200,VA,Fairfax,2024,0.027828842269476503,682,24.6,30.4,9.6,9.5,5.3,4.1,19.8,9.3,38.7,23.8,2.6
51059440701,VA,Fairfax,2895,0.026124172479631433,683,24.7,31.0,9.7,9.0,5.5,4.2,18.4,10.2,40.9,21.7,2.6
24031700606,MD,Montgomery,4192,0.02593026641226043,684,22.5,33.1,8.2,8.5,5.5,4.5,16.3,11.3,45.6,22.2,2.8
24031700730,MD,Montgomery,5343,0.025321870913528433,685,20.6,32.5,5.9,9.5,5.1,4.9,17.8,12.0,40.8,28.7,2.9
51059481600,VA,Fairfax,3480,0.0247695924903086,686,25.4,30.8,10.5,9.1,5.3,3.8,18.7,9.6,41.4,22.1,2.4
24031706009,MD,Montgomery,5569,0.024047397908840362,687,23.6,32.8,10.2,8.6,5.5,3.8,16.8,9.7,45.3,21.9,2.6
51059421400,VA,Fairfax,8188,0.024043290220806392,688,19.3,30.9,4.0,10.6,4.8,5.4,20.3,12.9,33.6,33.4,3.0
24031701222,MD,Montgomery,3784,0.02081756152450977,689,23.6,32.1,10.3,8.9,5.4,3.9,17.6,9.2,43.5,22.5,2.6
51059440100,VA,Fairfax,7503,0.019777342594603974,690,24.2,31.0,9.1,9.1,5.6,4.3,18.4,10.5,39.9,22.3,2.7
51107611202,VA,Loudoun,4735,0.019529972319864516,691,25.1,32.4,9.5,9.1,5.3,4.0,18.6,9.3,38.4,26.9,2.6
24031700206,MD,Montgomery,5708,0.018287642272342673,692,22.0,30.4,8.3,9.6,5.0,4.6,19.7,9.1,41.5,25.7,2.6
51059492000,VA,Fairfax,6550,0.01791425045451105,693,25.1,31.1,10.4,9.0,5.4,3.8,18.5,9.7,41.2,21.8,2.5
51059451800,VA,Fairfax,3485,0.01755184405319331,694,22.8,31.4,7.3,8.9,5.7,4.7,17.8,12.3,39.5,25.2,2.8
51059470500,VA,Fairfax,5717,0.01743258399554459,695,25.1,31.6,10.0,8.8,5.5,3.9,17.7,10.5,41.7,21.1,2.6
24021751801,MD,Frederick,5417,0.01633685490835142,696,23.6,30.3,8.1,9.6,4.4,4.3,21.9,8.6,37.5,33.3,2.3
24031701703,MD,Montgomery,3719,0.015653668210084872,697,20.4,33.0,5.8,10.2,4.8,4.7,18.0,11.0,39.2,30.0,3.0
51059430500,VA,Fairfax,1716,0.014375573413872128,698,23.1,31.1,7.5,9.0,5.5,4.7,18.1,11.9,40.2,23.7,2.8
11001007903,DC,District of Columbia,1865,0.014322792910292481,699,19.8,33.5,5.3,11.0,4.3,4.8,21.1,9.8,34.0,27.9,3.6
51059420700,VA,Fairfax,4241,0.014293242171581072,700,23.2,30.4,7.9,9.6,5.2,4.5,19.4,10.7,38.4,25.4,2.7
51013102200,VA,Arlington,7880,0.01392843395560902,701,20.7,31.2,4.3,9.7,4.8,5.0,20.2,13.4,35.8,32.8,2.9
51059451300,VA,Fairfax,2491,0.013798973012249293,702,23.5,30.3,8.3,9.4,5.3,4.4,19.8,10.5,38.7,24.7,2.6
51059460800,VA,Fairfax,3162,0.011893189545680532,703,24.3,30.6,9.2,9.2,5.3,4.2,19.2,10.2,40.2,22.9,2.5
51153901509,VA,Prince William,7056,0.01174921369921932,704,22.9,30.7,7.9,9.8,4.5,4.4,21.9,9.1,37.2,31.1,2.3
51013100200,VA,Arlington,6660,0.010779685649850546,705,25.1,29.8,9.3,9.4,4.8,4.1,21.5,8.8,39.4,24.7,2.3
11001001901,DC,District of Columbia,4206,0.01077317273206092,706,20.8,34.1,5.9,10.6,4.5,4.4,19.5,10.2,35.7,27.1,3.6
24031700728,MD,Montgomery,2043,0.010655787380903616,707,19.8,32.1,5.7,9.5,5.3,5.1,18.4,11.8,40.1,27.0,3.0
51153901009,VA,Prince William,7488,0.009872156483180633,708,22.7,31.7,7.4,10.1,4.4,4.2,20.9,9.7,36.9,32.1,2.4
51059432300,VA,Fairfax,5127,0.009709918743298455,709,24.2,31.3,8.7,9.1,5.4,4.2,18.3,10.9,40.5,23.0,2.6
24021751902,MD,Frederick,6005,0.0094633273381446,710,24.0,30.6,8.5,9.6,4.4,4.1,21.3,8.7,37.7,32.4,2.3
51153901011,VA,Prince William,6654,0.00898448245683952,711,21.5,32.5,5.8,10.3,4.3,4.5,20.5,10.9,35.7,34.3,2.6
24017850904,MD,Charles,13090,0.008916874938490187,712,21.7,38.1,5.0,11.2,3.7,4.0,17.0,11.4,32.7,42.1,2.7
24031702401,MD,Montgomery,2722,0.006845522572593609,713,22.3,32.0,8.4,9.6,4.8,4.1,18.8,9.5,41.5,26.9,2.6
24031700731,MD,Montgomery,4261,0.006584705060219949,714,18.0,30.6,4.4,10.4,4.9,5.7,19.6,11.5,36.8,32.1,3.0
24033800105,MD,Prince George's,4238,0.0063996104647941416,715,22.1,34.5,5.5,11.1,4.1,4.3,15.4,11.9,34.7,39.6,2.8
51059431900,VA,Fairfax,3173,0.006198235785543687,716,24.2,31.1,9.1,9.0,5.4,4.2,18.5,10.6,40.8,22.8,2.5
