LocationID,lisa_q,lisa_p,lisa_I
11001000902,3,0.001,1.3787523444827
11001007404,1,0.001,2.4805144994431734
11001007202,3,0.013,1.100989482091919
11001009603,1,0.001,3.185810904036711
11001009601,1,0.001,2.176628167630591
11001001803,0,0.433,-0.1230486145000445
11001009507,0,0.238,0.053980487933255696
11001009203,3,0.036,0.18772586308666236
11001007807,1,0.001,2.3421049900048554
11001000702,3,0.001,1.4196329902966678
11001003302,0,0.307,0.2543325623339406
11001005001,3,0.001,1.7249749343784095
11001006700,3,0.001,2.0110738242040678
11001009000,1,0.001,0.2921559883153721
11001000703,3,0.001,1.53475309989508
11001007803,1,0.001,3.021123010728283
11001000704,3,0.001,1.561025357296729
11001005202,3,0.001,1.7366508917856547
11001009102,0,0.437,-0.06769928535598102
11001005503,3,0.001,0.6435628587938569
11001001902,0,0.497,0.014010362660849906
11001008804,0,0.107,0.2937950332709601
11001009400,2,0.016,-0.2506904522012696
11001008001,3,0.001,1.3796316417365353
11001009508,0,0.231,-0.07424639807880502
11001009510,0,0.215,0.4478245824545644
11001008701,0,0.269,0.2349407493607032
11001002702,3,0.017,0.6952554029386399
11001007804,1,0.001,3.806072521159248
11001001401,3,0.001,1.5776947302382929
11001005601,3,0.001,0.9691665744898809
11001007301,2,0.001,-1.3026847887596145
11001009802,1,0.001,4.5589182633948155
11001005602,3,0.001,0.9687338461933481
11001007708,1,0.002,1.3236083773095157
11001001402,3,0.001,1.1852709267037633
11001001100,3,0.001,1.3006149030562886
11001006600,3,0.001,2.0102361950816303
11001009504,0,0.128,-0.012051246342491422
11001009801,1,0.001,6.2452600430153815
11001007409,1,0.001,6.759311466413445
11001005302,3,0.001,2.1831732240170334
11001005303,3,0.001,1.928113069363669
11001005501,3,0.001,1.4349386638675197
11001003701,3,0.001,1.3241523236855353
11001004600,0,0.482,0.03178441268247053
11001004704,4,0.001,-5.276256051781879
11001004300,3,0.001,2.1497199097901136
11001007000,3,0.001,1.415450705841698
11001000904,3,0.001,1.4323912540726638
11001001004,3,0.001,1.120027410265817
11001002600,3,0.002,0.8111967774464607
11001006802,0,0.336,-0.11230698458105583
11001000501,3,0.001,1.99057989464874
11001008200,3,0.001,2.1235406488699002
11001000201,4,0.001,-3.029762774818506
11001009302,0,0.1,-0.27012301551988777
11001000600,3,0.001,1.6676438654283794
11001008802,0,0.492,-0.015929039357534595
11001004402,3,0.001,1.420652925740218
11001006801,0,0.338,0.12091323207477844
11001008904,0,0.407,-0.0846191784767211
11001002301,0,0.37,0.06787229132592712
11001005801,0,0.268,0.14876922244218443
11001007808,1,0.001,3.5564919050854034
11001008402,3,0.001,1.1528752671565246
11001007604,1,0.001,1.5240542091010154
11001002503,0,0.051,0.6044429911369791
11001007709,1,0.006,1.617132166224163
11001001200,3,0.001,1.6332304634884935
11001004100,3,0.001,1.6821653347537353
11001007806,1,0.001,1.7847233064387162
11001003801,3,0.001,2.1439563054181083
11001004401,3,0.001,1.5515814495569717
11001008803,0,0.067,-0.052097348879267556
11001001304,3,0.001,1.924380130468848
11001009700,1,0.001,3.5147768035495224
11001001002,3,0.001,1.4209433276621053
11001008410,3,0.001,1.2431951059070163
11001005003,3,0.001,1.2076874361205945
11001007603,2,0.001,-0.14199381356911417
11001003901,3,0.001,1.5209995414373734
11001002703,3,0.015,0.8327322855506164
11001003400,3,0.001,0.5372350689550323
11001009602,1,0.003,4.289595557490159
11001008100,3,0.001,2.230487674905699
11001008301,3,0.001,2.1285251463490673
11001001303,3,0.001,1.3075400946557902
11001007502,1,0.001,3.38544212299637
11001006900,3,0.001,1.5417348799112096
11001000903,3,0.001,1.0750888141890091
11001000400,3,0.001,1.2008869296896352
11001007504,1,0.001,3.6590960126046537
11001002302,0,0.188,0.01567725918629221
11001000502,3,0.001,1.8375769594887637
11001002501,3,0.023,0.5850981519063791
11001001600,3,0.014,0.5842975363502962
11001007403,1,0.001,8.418533349851797
11001002202,0,0.372,0.010124984645527618
11001001301,0,0.093,0.5476387194390823
11001000804,3,0.001,1.5393981079744437
11001004801,3,0.001,0.8057707526666104
11001000300,3,0.01,0.8608547007063664
11001008702,0,0.196,0.350428712247736
11001009511,0,0.431,-0.38439162128369614
11001002704,3,0.007,0.6090620285777333
11001007201,0,0.464,0.02490734498243093
11001000202,3,0.005,0.7953945147271008
11001001702,0,0.381,-0.06606483367011814
11001004202,3,0.001,1.9564234432198142
11001003100,0,0.149,0.49890429754843696
11001007408,1,0.001,6.821568659830013
11001007809,1,0.001,2.6985852384507694
11001002001,0,0.4,-0.2585405329390595
11001007401,0,0.483,-0.10333495908848696
11001003802,3,0.001,1.533665794826729
11001004702,0,0.397,0.16368158276549402
11001000803,3,0.001,1.243227952247133
11001004201,3,0.001,2.0060162832090356
11001003600,3,0.021,0.6672218364082068
11001009201,0,0.108,-0.2790385315296573
11001001003,3,0.001,1.2317285734711503
11001009604,1,0.001,1.3566656679468412
11001007707,1,0.001,2.3654890688401773
11001002801,3,0.037,0.13767229207563042
11001002504,3,0.004,0.39094031664642226
11001002002,0,0.314,0.14328416513277425
11001001901,0,0.316,0.001335731533391734
11001004703,0,0.258,-0.046014883846385767
11001004802,0,0.393,-0.04977653419367753
11001006804,0,0.305,0.6736582538593618
11001009503,1,0.046,0.02594465809592149
11001008903,0,0.27,-0.3511469802560116
11001007703,1,0.003,2.1411214488567727
11001002802,4,0.016,-0.3691229076284198
11001007903,0,0.06,-0.060812555722016326
11001008302,3,0.001,2.111502428519865
11001003200,4,0.032,-0.06904715809498213
11001001804,0,0.269,0.18862551102948336
11001007100,4,0.002,-0.3402108809030406
11001007407,1,0.001,3.6579134196241254
11001002900,0,0.1,0.2305935368793014
11001009301,0,0.051,-0.3700972809889357
11001007901,0,0.24,-0.16506610953566214
11001000102,3,0.013,0.9188729036324299
11001000101,3,0.001,1.846694637685198
11001005502,3,0.001,1.7922767670528676
11001003702,4,0.001,-0.3752135914895093
11001008002,3,0.001,1.114053655288666
11001004002,3,0.001,2.2625412320415528
11001005203,3,0.001,1.5355217809854362
11001006400,0,0.078,-0.621679224736614
11001005004,4,0.001,-0.10936800866063288
11001005900,0,0.28,0.26285202642669103
11001007406,1,0.001,4.381356664717076
11001007605,1,0.001,2.2597965244516405
11001002101,0,0.287,-0.03607749670735725
11001002201,3,0.049,0.24939396167267094
11001001500,3,0.042,0.5413671497240347
11001004001,3,0.001,2.338950252056501
11001007203,0,0.062,0.6167630736031781
11001002400,0,0.069,0.26145991434332005
11001002102,0,0.455,7.618851155861896e-07
