Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2023,DC,District of Columbia,District of Columbia,11001,11001000902,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.3,,,2.0,2.6,"2,317","1,731",POINT (-77.1077517 38.9285125),11001000902,HLTHOUT,STROKE,CrdPrv,Stroke
2022,DC,District of Columbia,District of Columbia,11001,11001007404,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,17.9,,,14.8,21.2,"3,637","2,449",POINT (-76.9820932 38.8503364),11001007404,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2023,DC,District of Columbia,District of Columbia,11001,11001007202,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,1.1,,,1.0,1.2,"4,303","4,152",POINT (-77.0070741 38.8786426),11001007202,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2023,DC,District of Columbia,District of Columbia,11001,11001009603,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,43.8,,,39.5,48.1,"3,971","3,034",POINT (-76.9477195 38.8918285),11001009603,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2023,DC,District of Columbia,District of Columbia,11001,11001009601,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.7,,,6.6,11.3,"2,086","1,553",POINT (-76.9490606 38.90913),11001009601,PREVENT,ACCESS2,CrdPrv,Health Insurance
2023,DC,District of Columbia,District of Columbia,11001,11001001803,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,8.4,,,7.4,9.4,"4,102","3,066",POINT (-77.0419173 38.9672412),11001001803,DISABLT,VISION,CrdPrv,Vision Disability
2023,DC,District of Columbia,District of Columbia,11001,11001009507,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,10.7,,,9.1,12.5,"1,525","1,243",POINT (-76.9977787 38.9584945),11001009507,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2022,DC,District of Columbia,District of Columbia,11001,11001009203,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,67.9,,,63.3,72.3,"2,775","2,389",POINT (-77.0054956 38.9219735),11001009203,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2023,DC,District of Columbia,District of Columbia,11001,11001007807,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,6.3,,,5.3,7.3,"2,114","1,622",POINT (-76.9210632 38.8985783),11001007807,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2023,DC,District of Columbia,District of Columbia,11001,11001000702,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,5.3,,,4.5,6.3,"3,452","3,175",POINT (-77.077893 38.9241271),11001000702,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2023,DC,District of Columbia,District of Columbia,11001,11001003302,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,19.8,,,17.1,22.8,"2,434","2,131",POINT (-77.0111677 38.9139237),11001003302,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2023,DC,District of Columbia,District of Columbia,11001,11001005001,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,3.1,,,2.7,3.6,"2,012","1,874",POINT (-77.0295088 38.9119619),11001005001,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
