Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2023,VA,Virginia,Fairfax,51059,51059481102,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.0,,,7.1,9.1,"3,656","2,626",POINT (-77.398648 38.9482799),51059481102,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2023,VA,Virginia,Fairfax,51059,51059482002,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Crude prevalence,29.2,,,25.3,33.2,"3,545","3,003",POINT (-77.345466 38.972905),51059482002,SOCLNEED,LONELINESS,CrdPrv,Loneliness
2023,VA,Virginia,Fairfax,51059,51059431602,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,16.3,,,14.0,18.7,"6,485","5,057",POINT (-77.19041 38.7701117),51059431602,HLTHSTAT,GHLTH,CrdPrv,General Health
2023,VA,Virginia,Fairfax,51059,51059452101,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.7,,,10.2,13.4,"5,091","3,971",POINT (-77.184375 38.8234565),51059452101,HLTHOUT,DIABETES,CrdPrv,Diabetes
2022,VA,Virginia,Fairfax,51059,51059440702,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,77.9,,,75.5,80.1,"5,397","4,045",POINT (-77.2443509 38.8208175),51059440702,PREVENT,DENTAL,CrdPrv,Dental Visit
2023,VA,Virginia,Fauquier,51061,51061930102,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,13.0,,,10.9,15.5,"2,744","2,262",POINT (-77.7615866 38.8867425),51061930102,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2023,VA,Virginia,Fairfax,51059,51059440501,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,3.0,,,2.6,3.5,"5,006","3,915",POINT (-77.2732524 38.8295203),51059440501,DISABLT,VISION,CrdPrv,Vision Disability
2023,VA,Virginia,Fairfax,51059,51059422403,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,5.1,,,4.3,5.9,"3,024","2,275",POINT (-77.1214125 38.77322),51059422403,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2022,VA,Virginia,Fairfax,51059,51059490105,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,81.1,,,75.9,85.6,"2,761","2,163",POINT (-77.4514548 38.8803573),51059490105,PREVENT,MAMMOUSE,CrdPrv,Mammography
2023,VA,Virginia,Fairfax,51059,51059431500,BRFSS,Disability,Any disability among adults,%,Crude prevalence,21.5,,,18.6,24.7,"5,733","4,240",POINT (-77.2169257 38.7691619),51059431500,DISABLT,DISABILITY,CrdPrv,Any Disability
2022,VA,Virginia,Fairfax,51059,51059421900,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,68.1,,,65.2,71.0,"2,916","1,687",POINT (-77.1530607 38.7275332),51059421900,PREVENT,DENTAL,CrdPrv,Dental Visit
2023,VA,Virginia,Fairfax,51059,51059452200,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,15.1,,,12.9,17.2,"6,982","5,287",POINT (-77.2091592 38.8220023),51059452200,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2023,VA,Virginia,Fauquier,51061,51061930203,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,6.9,,,5.7,8.2,"2,703","2,247",POINT (-77.9881263 38.885797),51061930203,PREVENT,ACCESS2,CrdPrv,Health Insurance
2023,VA,Virginia,Fairfax,51059,51059480903,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,9.3,,,7.3,11.5,"4,177","3,186",POINT (-77.3936942 38.9585855),51059480903,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2023,VA,Virginia,Fairfax,51059,51059430101,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,91.7,,,90.4,92.8,"4,718","3,655",POINT (-77.3165912 38.8096896),51059430101,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2022,VA,Virginia,Fairfax,51059,51059452101,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,37.3,,,33.7,41.0,"5,091","3,971",POINT (-77.184375 38.8234565),51059452101,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2023,VA,Virginia,Fairfax,51059,51059452501,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,6.5,,,5.7,7.5,"3,912","3,177",POINT (-77.170137 38.8091897),51059452501,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2023,VA,Virginia,Fairfax,51059,51059482601,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,21.6,,,18.4,24.8,"7,321","5,405",POINT (-77.4140799 38.8987586),51059482601,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2023,VA,Virginia,Fairfax,51059,51059491602,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,2.8,,,2.4,3.2,"5,310","4,105",POINT (-77.4181238 38.8816575),51059491602,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2023,VA,Virginia,Fairfax,51059,51059460200,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,3.2,,,2.7,3.7,"3,970","2,967",POINT (-77.2889423 38.9273764),51059460200,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2023,VA,Virginia,Fairfax,51059,51059480504,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,23.8,,,20.1,28.0,"2,017","1,587",POINT (-77.3529986 38.9823873),51059480504,HLTHOUT,OBESITY,CrdPrv,Obesity
2023,VA,Virginia,Fairfax,51059,51059422000,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,13.4,,,11.6,15.4,"3,979","3,192",POINT (-77.1937315 38.7241216),51059422000,HLTHOUT,DIABETES,CrdPrv,Diabetes
